Year,Status,Award,Media,Media2,Name,Url,Error
2004,Finalist,,New York Times,,The capture of Saddam Hussein.,http://www.nytimes.com/packages/khtml/2003/12/14/international/middleeast/20031214_iraq_SADDAMCAPTURE_FEATURE.html,200
2004,Finalist,,New York Times,,Movies,http://movies.nytimes.com/pages/movies/index.html,verified
2004,Finalist,,Online Journalism Review,,Mark Glaser Online,http://ojr.org/ojr/glaser/,200
2004,Finalist,,Orlando Sentinel,,Building Homes: Building Problems,http://extra.orlandosentinel.com/buildingproblems/,timeout
2004,Finalist,,POV,,,http://www.pbs.org/pov/,200
2004,Finalist,,Providence Journal,,A Tribute to our Troops,http://www.projo.com/extra/terror/tribute/,200
2004,Finalist,,Providence Journal,,Coverage of the ongoing impact of the Station nightclub fire on Rhode Islanders,http://www.projo.com/extra/2003/stationfire/,200
2004,Finalist,,Race,,Murder,http://darrylhunt.journalnow.com/,timeout
2004,Finalist,,MSNBC,,Shadowland,http://msnbc.msn.com/id/3068168/site/newsweek,timeout
2004,Finalist,,Sun-Sentinel,,Haiti: The Eroding Nation,http://www.sun-sentinel.com/news/custom/interactivefeature/sfl-haiti-flash.htmlstory,200
